"SiteID" "Sediment Type" "Species" "Type" "Biome" "Height x longest canopy axis in 1994 (cm^2)" "Standard Deviation of area in 1994 (cm^2)" "Number of individuals in 1994" "Height x longest canopy axis in 2008 (cm^2)" "Standard Deviation of area in 2008 (cm^2)" "Number of individuals in 2008" "Height x longest canopy axis in 2012 (cm^2)" "Standard Deviation of area in 2012 (cm^2)" "Number of individuals in 2012"
"53" "4a" "shale" "Pentameris eriostoma" "C3 grass" "Fynbos" 571 284 10 NA NA NA 2914 1045 7
"54" "4b" "sandstone" "Pentameris eriostoma" "C3 grass" "Fynbos" 437 314 10 NA NA NA 1853 1025 8
"55" "5a" "shale" "Pentameris eriostoma" "C3 grass" "Fynbos" 964 650 8 NA NA NA 3500 1453 3
"56" "5b" "sandstone" "Pentameris eriostoma" "C3 grass" "Fynbos" 240 161 6 NA NA NA 2500 0 1
"57" "2a" "shale" "Merxmuellera disticha" "C3 grass" "Fynbos" 177 77 15 NA NA NA 1600 566 2
"58" "2b" "sandstone" "Merxmuellera disticha" "C3 grass" "Fynbos" 32 19 11 NA NA NA 0 0 0
"59" "3" "africa" "Merxmuellera disticha" "C3 grass" "Fynbos" 126 NA 11 NA NA NA 1000 0 1
"60" "4a" "shale" "Merxmuellera disticha" "C3 grass" "Fynbos" 123 79 19 NA NA NA 1060 918 10
"61" "4b" "sandstone" "Merxmuellera disticha" "C3 grass" "Fynbos" 108 55 19 NA NA NA 1688 751 12
"62" "5a" "shale" "Merxmuellera disticha" "C3 grass" "Fynbos" 175 56 19 NA NA NA 1446 307 13
"63" "5b" "sandstone" "Merxmuellera disticha" "C3 grass" "Fynbos" 73 24 20 NA NA NA 1260 407 15
"64" "2a" "shale" "Themeda triandra" "C4 grass" "Mixed" 738 351 9 NA NA NA NA NA NA
"65" "2b" "sandstone" "Themeda triandra" "C4 grass" "Mixed" 317 135 5 NA NA NA NA NA NA
"66" "3" "africa" "Themeda triandra" "C4 grass" "Mixed" 1475 NA 4 NA NA NA NA NA NA
"67" "4a" "shale" "Themeda triandra" "C4 grass" "Mixed" 1114 452 6 NA NA NA NA NA NA
"68" "4b" "sandstone" "Themeda triandra" "C4 grass" "Mixed" 495 88 5 NA NA NA NA NA NA
